[5.         4.         0.7        1.57079633]
[5.         4.50753116 0.7        1.57079633]
[5.         5.01506231 0.7        1.57079633]
[5.         5.52259347 0.7        1.57079633]
[5.         6.03012462 0.7        1.57079633]
[5.         6.53765578 0.7        1.57079633]
[5.         7.04518693 0.7        1.57079633]
[5.         7.55271809 0.7        1.57079633]
[5.         8.06024925 0.7        1.57079633]
[5.         8.5677804  0.7        1.57079633]
[5.         9.07531156 0.7        1.57079633]
[5.         9.58284271 0.7        1.57079633]
[ 5.         10.09037387  0.7         1.57079633]
[ 5.         10.59790502  0.7         1.57079633]
[ 5.         11.10543618  0.7         1.57079633]
[ 5.         11.61296734  0.7         1.57079633]
[ 5.         12.12049849  0.7         1.57079633]
[ 5.         12.62802965  0.7         1.57079633]
[ 5.         13.1355608   0.7         1.57079633]
[ 5.         13.64309196  0.7         1.57079633]
[ 5.         14.15062311  0.7         1.57079633]
[ 5.         14.65815427  0.7         1.57079633]
[ 5.         15.16568542  0.7         1.57079633]
[ 5.         15.67321658  0.7         1.57079633]
[ 5.         16.18074774  0.7         1.57079633]
[ 5.         16.68827889  0.7         1.57079633]
[ 5.         17.19581005  0.7         1.57079633]
[ 5.         17.7033412   0.7         1.57079633]
[ 5.         18.21087236  0.7         1.57079633]
[ 5.         18.71840351  0.7         1.57079633]
[ 5.         19.22593467  0.7         1.57079633]
[ 5.         19.73346583  0.7         1.57079633]
[ 5.         20.24099698  0.7         1.57079633]
[ 5.         20.74852814  0.7         1.57079633]
[ 5.         21.25605929  0.7         1.57079633]
[ 5.         21.76359045  0.7         1.57079633]
[ 5.         22.2711216   0.7         1.57079633]
[ 5.         22.77865276  0.7         1.57079633]
[ 5.         23.28618392  0.7         1.57079632]
[ 4.99999998 23.79371506  0.7         1.57079634]
[ 5.00000006 24.30124625  0.7         1.5707963 ]
[ 4.99999977 24.80877729  0.7         1.57079634]
[ 5.00000087 25.3163089   0.7         1.57079657]
[ 4.99999676 25.82383835  0.5         1.57079433]
[ 5.00001202 26.33137583  0.5         1.57080796]
[ 4.99995553 26.83888359  0.5         1.57073671]
[ 5.00016404 27.34650111  0.5         1.57108122]
[ 4.9993967  27.85371442  0.5         1.56949376]
[ 5.00221147 28.36241149  0.5         1.57659798]
[ 4.99192266 28.86568088  0.5         1.54590923]
[ 5.029387   29.38873028  0.5         1.68283998]
[ 4.72532233 29.77031373  0.5         2.49933466]
[ 4.46366515 30.16946293  0.5         1.59444046]
[ 4.52083133 30.70067309  0.5         1.51761164]
[ 4.43451785 31.17245203  0.5         2.0804458 ]
[ 4.         31.5         0.5         2.80966852]
